Kigdom	phylum	Class	Order	Family	Genus	Species	Subspecies	TaxID
Eukaryota	Chordata	Unassigned	Testudines	Emydidae	Pseudemys	Pseudemys concinna	Unassigned	270252
Eukaryota	Chordata	Unassigned	Testudines	Cheloniidae	Eretmochelys	Eretmochelys imbricata	Unassigned	27787
Eukaryota	Chordata	Unassigned	Testudines	Cheloniidae	Lepidochelys	Lepidochelys olivacea	Unassigned	27788
Eukaryota	Chordata	Unassigned	Testudines	Cheloniidae	Natator	Natator depressus	Unassigned	27790
Eukaryota	Chordata	Unassigned	Testudines	Dermochelyidae	Dermochelys	Dermochelys coriacea	Unassigned	27794
Eukaryota	Chordata	Unassigned	Testudines	Testudinidae	Dipsochelys	Dipsochelys sp. PK-2004	Unassigned	282225
Eukaryota	Chordata	Unassigned	Testudines	Testudinidae	Chersobius	Chersobius signatus	Unassigned	285992
Eukaryota	Chordata	Unassigned	Testudines	Testudinidae	Homopus	Homopus areolatus	Unassigned	285996
Eukaryota	Chordata	Unassigned	Testudines	Testudinidae	Chersobius	Chersobius boulengeri	Unassigned	285997
Eukaryota	Chordata	Unassigned	Testudines	Testudinidae	Homopus	Homopus femoralis	Unassigned	285998
Eukaryota	Chordata	Unassigned	Testudines	Testudinidae	Chersina	Chersina angulata	Unassigned	286001
Eukaryota	Chordata	Unassigned	Testudines	Testudinidae	Gopherus	Gopherus flavomarginatus	Unassigned	286002
Eukaryota	Chordata	Unassigned	Testudines	Testudinidae	Gopherus	Gopherus berlandieri	Unassigned	286003
Eukaryota	Chordata	Unassigned	Testudines	Testudinidae	Kinixys	Kinixys belliana	Unassigned	286004
Eukaryota	Chordata	Unassigned	Testudines	Testudinidae	Kinixys	Kinixys homeana	Unassigned	286005
Eukaryota	Chordata	Unassigned	Testudines	Testudinidae	Malacochersus	Malacochersus tornieri	Unassigned	286009
Eukaryota	Chordata	Unassigned	Testudines	Testudinidae	Manouria	Manouria emys	Manouria emys phayrei	286010
Eukaryota	Chordata	Unassigned	Testudines	Testudinidae	Manouria	Manouria emys	Manouria emys emys	286011
Eukaryota	Chordata	Unassigned	Testudines	Testudinidae	Psammobates	Psammobates geometricus	Unassigned	286013
Eukaryota	Chordata	Unassigned	Testudines	Testudinidae	Psammobates	Psammobates tentorius	Unassigned	286014
Eukaryota	Chordata	Unassigned	Testudines	Testudinidae	Testudo	Testudo graeca	Testudo graeca terrestris	286015
Eukaryota	Chordata	Unassigned	Testudines	Testudinidae	Chersobius	Chersobius solus	Unassigned	286016
Eukaryota	Chordata	Unassigned	Testudines	Testudinidae	Stigmochelys	Stigmochelys pardalis	Stigmochelys pardalis pardalis	286017
Eukaryota	Chordata	Unassigned	Testudines	Testudinidae	Stigmochelys	Stigmochelys pardalis	Stigmochelys pardalis babcocki	286018
Eukaryota	Chordata	Unassigned	Testudines	Testudinidae	Geochelone	Geochelone platynota	Unassigned	286019
Eukaryota	Chordata	Unassigned	Testudines	Testudinidae	Psammobates	Psammobates tentorius	Psammobates tentorius verroxii	286022
